Catalog Number,Material,Material Description,Sales Unit,Delivery unit
53818,53818,Drill 8 mm left,PCE,1
53949,53949,Drill 5 mm left,PCE,1
53950,53950,Drill 5 mm right,PCE,1
53951,53951,Drill 10 mm left,PCE,1
53952,53952,Drill 10 mm right,PCE,1
54997,54997,MT FRONTCON.86-214 SCREW DIST HE55501,PCE,20
54998,54998,MT FRONTCON.86-214 KNOCK DIST HE55502,PCE,20
60576,907282700,"SILENT SYSTEM_CLIP ON_S_99_B12,5    PU50",PCE,50
60579,60579,DAMPER SCREW-ON OVERL. ZDC,PCE,50
60581,60581,CUPDAMPER TH42/TH43 ZDC,PCE,50
61258,61258,Machine part quick chuck BlueMax 8,PCE,1
61268,929661000,V-Set Fence elongation BM 2000 mm,PCE,1
61285,924802100,Pendulum stop right/left,PCE,1
61351,924802700,Tilt stop right,PCE,1
61353,924802600,Tilt stop left,PCE,1
61546,61546,SLIDE LINE55 PR 4000,PCE,30
61832,61832,Plastic prof. f. fence extension 2000 mm,EA,1
61855,61855,"CLIP W/PLATE, SCREW-ON VERSION",PCE,200
63549,63549,PANEL LOCK CLEAR,PCE,500
63598,63598,SHELF SUPP.TITANIUM2 CHR,PCE,20
64819,64819,SOCKET NO.5 D10 L11 PL.CL.,PCE,1000
65501,915323502,VB 35MD/16 ZINC NICKEL,PCE,200
65507,65507,VB 35M/19 PL WHITE H01,PCE,200
65511,65511,VB 35/16 Pl White H01,PCE,200
65517,915325801,VB 36MD/16 ZINC NICKEL,PCE,200
65517,915325802,VB 36MD/16 ZINC NICKEL,PCE,200
65534,65534,DU 648 M6 ST BRIGHT,PCE,200
65540,65540,"DU328 4X11 S6,7 VB",PCE,200
66713,66713,4.5X16 POZI N/P SCR (SOFIX),PCE,1000
69934,921196600,GTS 5150 Z NICKEL-MAT,PCE,10
69934,921196601,GTS 5150 Z NICKEL-MAT,PCE,10
70263,70263,Accura rail 1000 mm,PCE,1
70265,930748000,Drilljig Accura runner,PCE,1
70266,70266,Accura adjustable stop,PCE,1
70267,70267,Accura adjustable stop,PCE,1
70268,70268,Sleeve drill Accura Practica 5 mm,PCE,1
70269,70269,SP sleeve drill Accura Practica 5 mm,PCE,1
70660,908352300,TIE/BELT HOLDER EXT.,PCE,1
70664,70664,W/robe Tube Bracket SL322,PCE,50
70666,70666,SL323 DD OVAL NICKEL,PCE,50
70668,70668,SL786 DD OVAL NICKEL,PCE,50
70676,70676,SL781 M OVAL NICKEL,PCE,10
70712,70712,DECORAT.CAP A NICKEL MATT,PCE,50
70713,70713,DECORAT.CAP B NICKEL MATT,PCE,50
70962,938028600,SLIDE LINE 55 RUN.P.HA30KG,PCE,100
70963,70963,DOOR STOP SL55,PCE,100
70963,938029700,DOOR STOP SL55,PCE,100
70985,70985,Wing 77 Guide Pr.3200 SE,PCE,1
70986,70986,WING 77 SET 2 WINGS,SET,1
70987,70987,WING 77 SET 4 WINGS,SET,1
71080,71080,Spindle DM 10x71mm SP 1309,PCE,1
71084,71084,Deep Gr.Ball B.SP 1319,PCE,1
71085,71085,Shield SP 1336a,PCE,1
71117,71117,GUIDE PROF. STB11 L3000 -2 MM BLANK,PCE,4
71545,71545,MGS 4x14      FR PZ VZ ST      LN12431,PCE,50
71546,71546,MGS 4x16      FR PZ VZ ST      LN12431,PCE,100
71547,71547,MGS 4x18      FR PZ VZ ST      LN12431,PCE,50
71548,71548,MGS 4x20      FR PZ VZ ST      LN12431,PCE,50
71549,71549,MGS 4x22      FR PZ VZ ST      LN12431,PCE,50
71555,71555,MGS 4x24      FR PZ VZ ST      LN12431,PCE,50
71556,71556,MGS 4x26      FR PZ VZ ST      LN12431,PCE,50
71557,71557,MGS 4x28      FR PZ VZ ST      LN12431,PCE,50
71558,71558,MGS 4x30      FR PZ VZ ST      LN12431,PCE,50
71561,71561,MGS 4x36      FR PZ VZ ST      LN12431,PCE,100
71562,71562,MGS 4x38      FR PZ VZ ST      LN12431,PCE,50
71563,71563,MGS 4x40      FR PZ VZ ST      LN12431,PCE,50
71648,933242100,CENTRE HINGE OPEN ANG 180 PU10,PCE,10
71855,71855,MGS 4x42      FR PZ VZ ST      LN12431,PCE,50
71856,71856,MGS 4x45      FR PZ VZ ST      LN12431,PCE,100
72053,72053,CONNECT.PIECE TZ 28,PCE,100
72134,72134,ET582 T22 REFRIG. W MPL,PCE,10
72144,72144,Drillset hinges BlueMaxMini Typ3 2/6,PCE,1
72152,72152,Set quick clamping lever,SET,1
72509,72509,DEMOUNTING KEY PR 200,PCE,1
72960,904325200,S_9904__B11_TU12/S              PU50  UG,PCE,50
72967,904325300,"S_9904__B2,5_TU12/S             PU50  UG",PCE,50
72968,904325400,S_9904__B-4_TU12/S              PU50  UG,PCE,50
73007,73007,Fence 800 mm SP 1114,PCE,1
73213,73213,PLUG-ON SUPPORT BACK WHITE,PCE,200
73504,908344200,MOVING-CORNER LE SILVER,PCE,1
73505,908343800,MOVING-CORNER RI SILVER,PCE,1
73506,73506,Baskets Moving Corner Chr,PCE,1
73615,73615,GLASSHELF SUPP.PL CLEAR,PCE,500
73784,73784,Drilljig Exakta rail 1000 mm w/o stop,PCE,1
73786,73786,Drilljig Exakta rail 2000 mm w/o stop,PCE,1
73788,73788,Drilljig Exakta movable stop,PCE,1
73922,904344600,"S_9936__B-3,5_TH43              PU50  UG",PCE,50
73925,911771601,S_9935__B18_TH22/L              PU10  UG,PCE,10
73926,911771701,S_9935__B8_TH22/L               PU10  UG,PCE,10
73927,911771802,S_9935__B-3_TH22/L              PU10  UG,PCE,10
73933,904347800,S_9936_W45_B-17_TH43            PU50  UG,PCE,50
74134,74134,PD BALMO CHR MA CC128 L149,PCE,25
74430,922610000,"KNIFE HOLDER OT 420,430,440,480",PCE,1
74688,74688,"DU321 DB6X11 S6,7 VZ",EA,200
74805,931242000,SHELF SUPPORT F.GROOVES,PCE,500
74879,74879,LEVER PLUG CL RI T-200,PCE,1
75070,75070,BM fence with scale 2000 mm,PCE,1
75073,75073,Connecting piece f fence extension,PCE,1
75074,75074,Clamping Stone for fence extension,PCE,1
75075,929660600,Screw DIN 912/8.8 M8x10mm,PCE,1
75808,923132900,CATCH+SHELF SUPPORT SET BLACK,SET,5
75847,75847,"LOCKING BAR,HL 32, 8 HI +",PCE,1
75849,75849,"LOCKING BAR,HL 32, 10HI +",PCE,1
76481,76481,RUNNING SHOE HAND.F.SL 97,PCE,10
76482,76482,"Adapter F.SL 97,Chromated",PCE,1
76484,76484,SlideLine97 Special Fitting Tool,PCE,1
76490,480755000,Pinion Z=32 Bmm SP 1106,PCE,1
76495,76495,Safety shield  SP 1117,PCE,1
76497,76497,Cap for clamping die SP 1120,PCE,1
76503,76503,Headless Pin DIN 914 M4X8 SP 1173,PCE,1
76508,76508,Bowex-Clutch Cpl. SP 1552,PCE,1
76510,76510,"Threaded angle nut 1/8"" SP 1660a",PCE,1
76570,76570,Pedal BM 8/19  SP 506,PCE,1
77470,77470,Pressure piece+cover ET123a +123b,PCE,1
77487,77487,Pinion Z=21 ET 1105,PCE,1
77699,904347400,S_9936_W45_B6_TH42              PU50  UG,PCE,50
77700,904347500,S_9936_W45_B6_TH43              PU50  UG,PCE,50
77708,904348000,S_9936_W90_B5_TH42              PU50  UG,PCE,50
77709,904348100,S_9936_W90_B5_TH43              PU50  UG,PCE,50
77720,904342200,S_9944_W-45_B10_TH43            PU50  UG,EA,50
77736,915949102,CUP TX32/52x9 SEL-PRO 2000 NICK,PCE,50
77747,77747,Elektropneumatic Switch SP 1680A,PCE,1
78002,78002,Bolt F.Holding-Down Clamps SP 1741,PCE,1
78093,78093,DrillJig Practica angle,PCE,1
78095,911551000,Sleeve drill Accura Practica 3 mm,PCE,1
78096,78096,Sleeve drill Accura Practica 10 mm,PCE,1
78097,78097,BlueJig IT marking  gauge,PCE,1
79004,911560100,Spare sleeve drill Accura Practica 3 mm,PCE,1
79005,79005,Spare sleeve drill Accura Practica 10 mm,PCE,1
79013,107984900,Wing Line230 Run.Pr.2400Wh,PCE,4
79014,107541000,Wing Line230 2400 Black,PCE,4
79015,922539500,WING LINE230 SET 4 WINGS,PCE,1
79015,922539501,WING LINE230 SET 4 WINGS,PCE,1
79173,79173,MT-FRONTCON. 54 KNOCK-IN,SET,10
79323,79323,3MM SPACER FOR UNIV MPL,PCE,50
79324,79324,.MM SPACER FOR UNIV MPL,PCE,50
79325,79325,10MM SPACER FOR UNIV MPL,PCE,50
